"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","formation","geological_group","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","tectonic_setting","geology_comments"
"248625","occ","","","14616","Baenidae indet.","family","","","Baenidae","family","37627","Lancian","","72.2","66","1987","Chordata","Reptilia","Testudinata","Baenidae","","-106.427223","47.675835","Hell Creek","","","""a sandstone channel filling"" (Hutchinson and Chiappe 1998)","sandstone","","","","","","coarse channel fill","","""channel filling"""
"248626","occ","","","14616","Trionychidae indet.","family","","","Trionychidae","family","37674","Lancian","","72.2","66","1987","Chordata","Reptilia","Testudines","Trionychidae","","-106.427223","47.675835","Hell Creek","","","""a sandstone channel filling"" (Hutchinson and Chiappe 1998)","sandstone","","","","","","coarse channel fill","","""channel filling"""
"248627","occ","","","14616","Scapherpeton sp.","genus","","","Scapherpeton","genus","37383","Lancian","","72.2","66","1987","Chordata","Amphibia","Urodela","Scapherpetontidae","Scapherpeton","-106.427223","47.675835","Hell Creek","","","""a sandstone channel filling"" (Hutchinson and Chiappe 1998)","sandstone","","","","","","coarse channel fill","","""channel filling"""
"248628","occ","","","14616","Lepisosteus sp.","genus","","","Lepisosteus","genus","35150","Lancian","","72.2","66","1987","Chordata","Osteichthyes","Lepisosteiformes","Lepisosteidae","Lepisosteus","-106.427223","47.675835","Hell Creek","","","""a sandstone channel filling"" (Hutchinson and Chiappe 1998)","sandstone","","","","","","coarse channel fill","","""channel filling"""
"248629","occ","21862","","14616","Melvius thomasi","species","","","Melvius thomasi","species","58871","Lancian","","72.2","66","39778","Chordata","Osteichthyes","Amiiformes","Amiidae","Melvius","-106.427223","47.675835","Hell Creek","","","""a sandstone channel filling"" (Hutchinson and Chiappe 1998)","sandstone","","","","","","coarse channel fill","","""channel filling"""
"259321","occ","13275","","25076","Tenontosaurus tilletti","species","","","Tenontosaurus tilletti","species","52887","Middle Albian","Early Cenomanian","110.1","93.9","13525","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Tenontosauridae","Tenontosaurus","-108.141403","45.438999","Cloverly","","Himes","","sandstone","","","","","","""channel""","",""
"259322","occ","","","25077","Tenontosaurus tilletti","species","","","Tenontosaurus tilletti","species","52887","Aptian","Early Albian","121.4","110.1","13525","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Tenontosauridae","Tenontosaurus","-108.161667","45.441387","Cloverly","","Little Sheep Mudstone","","claystone","","","","","","terrestrial indet.","",""
"266832","occ","","","25658","Piksi barbarulna n. gen. n. sp.","species","","","Piksi barbarulna","species","80899","Late Campanian","","83.6","72.2","7156","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Piksi","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266833","occ","18107","","25658","Saurornitholestes sp.","genus","","","Saurornitholestes","genus","38567","Late Campanian","","83.6","72.2","17718","Chordata","Reptilia","NO_ORDER_SPECIFIED","Dromaeosauridae","Saurornitholestes","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266834","occ","18108","","25658","Troodon cf. formosus","species","","","Troodon formosus","species","54818","Late Campanian","","83.6","72.2","17718","Chordata","Reptilia","NO_ORDER_SPECIFIED","Troodontidae","Troodon","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266835","occ","18109","","25658","Orodromeus makelai","species","","","Orodromeus makelai","species","64338","Late Campanian","","83.6","72.2","17718","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Thescelosauridae","Orodromeus","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266836","occ","","","25658","Theropoda indet.","unranked clade","","","Theropoda","unranked clade","38513","Late Campanian","","83.6","72.2","7156","Chordata","Reptilia","","","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266837","occ","","","25658","Tyrannosauridae indet.","family","","","Tyrannosauridae","family","38606","Late Campanian","","83.6","72.2","7156","Chordata","Reptilia","NO_ORDER_SPECIFIED","Tyrannosauridae","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266838","occ","","","25658","Hadrosauridae indet.","family","","","Hadrosauridae","family","38755","Late Campanian","","83.6","72.2","7156","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266839","occ","","","25658","Squamata indet.","unranked clade","","","Squamata","unranked clade","36379","Late Campanian","","83.6","72.2","7156","Chordata","Reptilia","Squamata","","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266840","occ","","","25658","Anura indet.","suborder","37422","","Anura","suborder","97112","Late Campanian","","83.6","72.2","7156","Chordata","Amphibia","Anura","","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266841","occ","","","25658","Marsupialia indet.","unranked clade","","","Marsupialia","unranked clade","39937","Late Campanian","","83.6","72.2","7156","Chordata","Mammalia","","","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
"266842","occ","","","25658","Multituberculata indet.","order","","","Multituberculata","order","39779","Late Campanian","","83.6","72.2","7156","Chordata","Mammalia","Multituberculata","","","-112.966667","48.650002","Two Medicine","Montana","Flag Butte","""silty claystone""","claystone","","silty","","","","""floodplain""","","""only very ephemeral water... small floodplain depression, possibly a vernal pool"""
